Date,Open,High,Low,Close,Volume
12/30/2019,"6,680","6,720","6,670","6,685","61,167,999"
12/27/2019,"6,670","6,700","6,670","6,695","29,945,000"
12/26/2019,"6,660","6,725","6,660","6,680","38,188,499"
12/23/2019,"6,680","6,730","6,650","6,660","46,558,499"
12/20/2019,"6,680","6,740","6,610","6,660","99,452,999"
12/19/2019,"6,700","6,720","6,590","6,600","74,170,999"
12/18/2019,"6,500","6,800","6,440","6,755","181,804,002"
12/17/2019,"6,395","6,500","6,365","6,500","102,914,498"
12/16/2019,"6,340","6,395","6,340","6,360","78,683,999"
12/13/2019,"6,395","6,420","6,350","6,360","70,822,499"
12/12/2019,"6,400","6,405","6,340","6,340","79,198,499"
12/11/2019,"6,365","6,385","6,350","6,380","48,468,999"
12/10/2019,"6,395","6,400","6,360","6,365","57,653,999"
12/09/2019,"6,370","6,395","6,360","6,395","51,667,499"
12/06/2019,"6,340","6,395","6,320","6,395","69,920,499"
12/05/2019,"6,360","6,385","6,330","6,340","54,167,999"
12/04/2019,"6,360","6,400","6,355","6,365","37,551,999"
12/03/2019,"6,420","6,420","6,345","6,375","42,822,999"
12/02/2019,"6,280","6,425","6,270","6,425","49,908,999"
11/29/2019,"6,230","6,295","6,225","6,280","52,954,499"
11/28/2019,"6,295","6,295","6,245","6,250","44,247,999"
11/27/2019,"6,270","6,300","6,240","6,300","58,833,499"
11/26/2019,"6,330","6,330","6,270","6,285","192,783,492"
11/25/2019,"6,330","6,335","6,275","6,275","55,133,499"
11/22/2019,"6,280","6,310","6,270","6,305","56,034,999"
11/21/2019,"6,350","6,350","6,300","6,300","57,523,499"
11/20/2019,"6,255","6,350","6,255","6,350","43,229,499"
11/19/2019,"6,330","6,350","6,300","6,315","60,114,999"
11/18/2019,"6,245","6,285","6,210","6,280","65,598,999"
11/15/2019,"6,280","6,290","6,255","6,275","47,137,999"
11/14/2019,"6,265","6,280","6,210","6,270","37,861,999"
11/13/2019,"6,265","6,285","6,265","6,280","40,083,499"
11/12/2019,"6,220","6,280","6,220","6,265","47,635,499"
11/11/2019,"6,335","6,340","6,265","6,295","70,206,999"
11/08/2019,"6,315","6,315","6,250","6,280","90,040,499"
11/07/2019,"6,335","6,335","6,250","6,285","61,971,999"
11/06/2019,"6,380","6,380","6,295","6,295","63,392,999"
11/05/2019,"6,350","6,360","6,270","6,360","66,161,499"
11/04/2019,"6,350","6,380","6,260","6,275","43,794,499"
11/01/2019,"6,300","6,325","6,275","6,325","42,080,499"
10/31/2019,"6,270","6,300","6,250","6,290","58,420,499"
10/30/2019,"6,280","6,285","6,200","6,265","60,737,999"
10/29/2019,"6,205","6,240","6,150","6,220","79,861,499"
10/28/2019,"6,200","6,250","6,200","6,205","43,249,499"
10/25/2019,"6,320","6,325","6,175","6,200","61,929,499"
10/24/2019,"6,290","6,320","6,270","6,300","73,100,999"
10/23/2019,"6,300","6,305","6,260","6,275","62,218,999"
10/22/2019,"6,270","6,300","6,225","6,300","67,259,499"
10/21/2019,"6,200","6,255","6,185","6,220","59,971,499"
10/18/2019,"6,160","6,170","6,140","6,160","41,008,499"
10/17/2019,"6,185","6,210","6,105","6,115","45,666,499"
10/16/2019,"6,200","6,215","6,175","6,215","65,776,499"
10/15/2019,"6,190","6,190","6,145","6,175","40,934,999"
10/14/2019,"6,130","6,200","6,130","6,200","37,514,499"
