Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2005-01-03,"9.283,0","9.325,0","9.335,0","9.275,0",,"0,01%"
2005-01-04,"9.300,0","9.300,0","9.310,0","9.265,0",,"0,18%"
2005-01-05,"9.310,0","9.310,0","9.325,0","9.285,0",,"0,11%"
2005-01-06,"9.327,5","9.292,5","9.327,5","9.264,5",,"0,19%"
2005-01-07,"9.310,0","9.326,0","9.326,0","9.285,0",,"-0,19%"
2005-01-10,"9.302,5","9.297,5","9.317,5","9.292,5",,"-0,08%"
2005-01-11,"9.287,5","9.302,5","9.302,5","9.272,5",,"-0,16%"
2005-01-12,"9.195,0","9.265,0","9.275,0","9.182,0",,"-1,00%"
2005-01-13,"9.141,5","9.126,5","9.161,5","9.106,5",,"-0,58%"
2005-01-14,"9.162,0","9.141,0","9.195,0","9.135,0",,"0,22%"
2005-01-17,"9.135,0","9.135,0","9.155,0","9.125,0",,"-0,29%"
2005-01-18,"9.157,0","9.150,0","9.165,0","9.145,0",,"0,24%"
2005-01-19,"9.163,0","9.145,0","9.169,0","9.145,0",,"0,07%"
2005-01-20,"9.160,0","9.175,0","9.175,0","9.150,0",,"-0,03%"
2005-01-21,"9.150,0","9.150,0","9.151,0","9.150,0",,"-0,11%"
2005-01-24,"9.140,0","9.168,0","9.168,0","9.140,0",,"-0,11%"
2005-01-25,"9.151,0","9.137,0","9.151,0","9.130,0",,"0,12%"
2005-01-26,"9.140,0","9.150,0","9.160,0","9.137,0",,"-0,12%"
2005-01-27,"9.149,5","9.131,5","9.156,5","9.126,5",,"0,10%"
2005-01-28,"9.150,0","9.135,0","9.155,0","9.135,0",,"0,01%"
2005-01-31,"9.165,0","9.150,0","9.175,0","9.147,0",,"0,16%"
2005-02-01,"9.232,5","9.167,5","9.252,5","9.162,5",,"0,74%"
2005-02-02,"9.180,0","9.230,0","9.240,0","9.180,0",,"-0,57%"
2005-02-03,"9.200,0","9.202,0","9.230,0","9.200,0",,"0,22%"
2005-02-04,"9.200,0","9.220,0","9.230,0","9.195,0",,"0,00%"
2005-02-07,"9.225,0","9.210,0","9.225,0","9.200,0",,"0,27%"
2005-02-08,"9.290,0","9.230,0","9.295,0","9.230,0",,"0,70%"
2005-02-09,"9.287,0","9.290,0","9.290,0","9.280,0",,"-0,03%"
2005-02-10,"9.282,5","9.287,5","9.292,5","9.277,5",,"-0,05%"
2005-02-11,"9.280,0","9.295,0","9.298,0","9.270,0",,"-0,03%"
2005-02-14,"9.248,0","9.250,0","9.255,0","9.240,0",,"-0,34%"
2005-02-15,"9.274,0","9.250,0","9.284,0","9.250,0",,"0,28%"
2005-02-16,"9.290,0","9.265,0","9.310,0","9.264,0",,"0,17%"
2005-02-17,"9.289,5","9.292,5","9.317,5","9.275,5",,"-0,01%"
2005-02-18,"9.250,0","9.295,0","9.300,0","9.240,0",,"-0,43%"
2005-02-21,"9.270,0","9.255,0","9.285,0","9.255,0",,"0,22%"
2005-02-22,"9.197,0","9.260,0","9.278,0","9.197,0",,"-0,79%"
2005-02-23,"9.210,0","9.212,0","9.262,0","9.210,0",,"0,14%"
2005-02-24,"9.255,0","9.250,0","9.282,0","9.240,0",,"0,49%"
2005-02-25,"9.265,0","9.262,0","9.272,0","9.262,0",,"0,11%"
2005-02-28,"9.264,5","9.267,5","9.279,5","9.252,5",,"-0,01%"
2005-03-01,"9.278,0","9.265,0","9.278,0","9.245,0",,"0,15%"
2005-03-02,"9.278,5","9.272,5","9.287,5","9.262,5",,"0,01%"
2005-03-03,"9.291,0","9.280,0","9.300,0","9.278,0",,"0,13%"
2005-03-04,"9.346,0","9.325,0","9.375,0","9.313,0",,"0,59%"
2005-03-07,"9.330,0","9.335,0","9.355,0","9.315,0",,"-0,17%"
2005-03-08,"9.385,0","9.335,0","9.400,0","9.335,0",,"0,59%"
2005-03-09,"9.340,0","9.385,0","9.395,0","9.340,0",,"-0,48%"
2005-03-10,"9.365,0","9.345,0","9.370,0","9.330,0",,"0,27%"
2005-03-11,"9.365,0","9.365,0","9.365,0","9.365,0",,"0,00%"
2005-03-14,"9.375,0","9.365,0","9.400,0","9.355,0",,"0,11%"
2005-03-15,"9.355,0","9.375,0","9.380,0","9.332,0",,"-0,21%"
